Positive Similarity	Negative Similarity
32349982.0	8998.0546875
34273168.0	9129.052734375
34468448.0	8597.2509765625
35460948.0	9508.4873046875
37050584.0	9721.9189453125
36440576.0	9606.1923828125
34958132.0	9261.1708984375
35404484.0	8959.3349609375
35180680.0	7762.50732421875
34304544.0	8263.6513671875
35089428.0	8172.50537109375
34212292.0	7784.88037109375
33015210.0	7322.79052734375
33397284.0	8707.8173828125
35136984.0	8390.4638671875
36104724.0	9148.587890625
36801940.0	10701.9892578125
37623240.0	10481.470703125
37046496.0	9975.3837890625
37146836.0	8803.40625
38764316.0	9642.224609375
39377752.0	10132.9208984375
40404188.0	11054.34765625
40660748.0	10763.6787109375
38710932.0	9691.1611328125
39632016.0	9304.400390625
39465960.0	8272.6435546875
40233372.0	9395.8115234375
40352908.0	9483.9287109375
39806252.0	9401.947265625
38596016.0	9544.5908203125
39999740.0	9249.44140625
40666296.0	9403.9541015625
41881188.0	11632.0712890625
41943924.0	12028.1337890625
42910648.0	11804.232421875
42438988.0	10617.158203125
42675156.0	10060.0654296875
43515448.0	10497.97265625
43813604.0	11035.0400390625
44551856.0	11097.236328125
43735732.0	16970.876953125
45049656.0	11734.2333984375
46058312.0	11022.8310546875
47035988.0	13088.6416015625
46847928.0	13618.564453125
46340932.0	12796.30078125
45173172.0	11704.271484375
44425472.0	11350.9345703125
46135992.0	11579.57421875
46960396.0	12559.4404296875
46393428.0	12311.7216796875
46171208.0	11410.837890625
45248568.0	10052.25390625
45069572.0	9647.6484375
45218420.0	9792.6416015625
45780448.0	10874.6572265625
46733104.0	11171.943359375
45742988.0	12871.8896484375
47318840.0	12992.6767578125
48039028.0	12390.2822265625
50096968.0	14772.8544921875
50419980.0	15912.7578125
49626720.0	15332.001953125
50818744.0	13413.8955078125
50603360.0	13844.0537109375
51364148.0	13833.0498046875
51160588.0	14334.2578125
51461604.0	14235.068359375
50523416.0	13491.4296875
49289848.0	11166.9638671875
49811696.0	11334.185546875
49605288.0	11708.7958984375
49901552.0	12678.763671875
49333060.0	12390.388671875
49394788.0	13227.6796875
51028028.0	14413.232421875
52533132.0	15152.3310546875
53304508.0	18028.267578125
52049472.0	17719.26171875
52043456.0	17427.873046875
53243104.0	14886.841796875
53754100.0	16930.87109375
55176840.0	16681.98046875
